Input Size,Merge Sort,Heap Sort,Quick Sort (Lomuto),Quick Sort (Hoare),Pancake Sort,Insertion Sort,Counting Sort,Bubble Sort,Standard Sort
1,0,0,0,0,0,0,3,0,0
2,1,1,0,0,0,0,3,0,0
4,2,0,0,0,0,0,3,0,0
8,4,0,0,0,0,0,6,0,0
16,8,1,1,0,0,0,24,0,1
32,27,3,6,1,1,0,63,0,1
64,35,8,27,6,8,2,142,0,2
128,79,13,70,17,19,4,249,1,12
256,213,49,364,45,72,5,684,0,13
512,378,86,844,286,371,18,1904,1,34
1024,837,222,3485,1051,1817,47,6180,3,73
2048,1502,387,10923,2665,4674,58,31274,12,133
4096,2928,1117,56617,12150,23049,148,88052,17,286
8192,6572,2015,212978,48149,83014,235,259449,22,639
16384,12676,4391,827431,195425,332126,390,1071320,60,1287
